"","newscategory","newstitle"
"1","정치","윤석열, '여가부 폐지' 공약에 ""선거 때 국민들에 거짓말하나"" 추진 재확인"
"2","정치","하루하루 다가오는 '태양절'.. 경축 준비[데일리 북한]"
"3","사회","이달 제주 확진자 10만명 돌파..""주말께부터 정점"""
"4","사회","중수본 ""19일부터 주평균 확진자 감소세, 위중증은 증가 둔화"""
"5","정치","尹, 초대 국무총리 내달 10일쯤 지명할듯"
"6","국제","美신문 ""푸틴, 보안국 질책..책임두고 내분 조짐""[우크라 침공]"
"7","정치","박근혜 '완치 미소'에 지지자들 ""가여운 분"" 눈물"
"8","국제","러 우크라 침공 한 달..美, 동맹 규합으로 '최대 압박'"
"9","정치","통일부 ""北, 내달 열병식 개최 가능성 커.. 예의주시"""
"10","사회","서울시, 다회용컵 무인회수기 600대 설치..'제로식당' 확대"
"11","사회","""韓, 바이오의약 기반 탄탄.. 빈국의 백신 자급 이끌 '티칭 허브'로 최적"""
"12","정치","정치메시지 없이 '짤막 인사' 내놓은 朴..尹, 달성 사저 찾는다"
"13","경제","소상공인 이차보전 프로그램 대출만기 1년 추가 연장"
"14","국제","우크라이나군, 키이우 등에서 반격 '성과'..전쟁 장기화"
"15","정치","방통심의위, 인수위 업무보고서 최종 제외"
"16","경제","저출산 시대에도 쑥쑥 크는 이유식"
"17","정치","윤 당선인 ""靑 인사 바람직하지 않아..박근혜 뵐 것""[일문일답]"
"18","국제","삼성전자 모바일·파운드리 동시위기의 상징 'GOS 사태'[지구촌 돋보기]"
"19","정치","국민의힘 ""공시가 17% 인상, 尹정부 과세부담 커져"""
"20","정치","극단의 靑·인수위 갈등..지방선거·靑 감사 공개 암초"
